What does “academic success” mean to you?,How would you describe your academic goals right now?,How would you describe your academic goals right now?,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Family,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Professors/Advisors/Mentors,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Friends/Peers,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - School culture,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Community expectations,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Social Media,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Career goals,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Individual experiences,Do you ever feel pressure to succeed academically?,Where does that academic pressure come from?,Where does that academic pressure come from?,Why do you NOT feel pressure to succeed academically?,How does that pressure make you feel?,How does that pressure make you feel?,Do you feel like you have the resources and support you need to achieve academic success?,Why do you feel this way?,Why not?,Does the amount of resources available to you effect how others see your academic potential?,"If you did not do well academically, how much do you think it would effect your future?","OPTIONAL: In what ways, specifically, would this effect your future?",How do you usually feel when you do well in school?,What about when you struggle academically? How do you feel then?,What are you proud of from your most recent school year?,What year of college are you currently in?,What type of school do you go to?,Are you receiving financial aid?,"Thinking back to high school, was the college you are currently attending one of your top three choices?","In high school, where would you situate yourself from an academic standpoint?",Is your current career ambitions the same as you had envisioned in high school?,Is there anything else you would like to share?,"Think of this ladder as representing where people stand in the United States. 
The ladder has 10 rungs. At the top of the ladder are the people who are the best off – those who have the most money, the most education, and the most respected jobs. At the bottom are the people who are the worst off – those who have the least money, least education, the least respected jobs, or no job. 

      

      Now think about your family.
Indicate the rung where you think you stand at this time in your life relative to other people in the United States.","Think of this ladder as representing where people stand in their communities. 
The ladder has 10 rungs. People define community in different ways; please define it in whatever way is most meaningful to you. At the top of the ladder are people who have the highest standing in their community. At the bottom are the people who have the lowest standing in their community. 


      Where would you place yourself on this ladder?
Indicate the rung that best represents where you would be on this ladder."
It means graduating with a degree and getting a great career with it. ,"Career preparation,Time management,Balancing stress",,1,4,6,5,7,8,2,3,Yes,Myself,,,Stressed,,Like somewhat,"I am smart enough to get the grades, but I was always expected to pay for my own schooling. It can get expensive. ",,"No, I do not have access to sufficient resources and thus feel inadequately prepared to achieve my version of success. This DOES NOT affect how others see my academic potential.",Somewhat more,I want to get into medical school. Without good grades I won’t get admitted. They are picky. ,"Happy,Relieved,Gratified,Proud","Stressed,Anxious,Nervous,Stuck","Time management,Balancing stress,Impressing your parents/guardians",Fourth year of equivalent,Private institution,Yes,Yes,Top 10% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",,4,4
Academic success means achieving good grades and genuinely learning enough to back them up without cheating/AI/any other academic dishonesty.,"Getting good grades,Career preparation,Time management,Balancing stress,Extracurriculars/Clubs,Internships/co-ops,Pursuing knowledge/answers",,1,2,5,3,7,6,4,8,Yes,Myself,,,Both,,Yes,"I go to a huge and quite good school in a highly populated state, my parents have saved a lot of money because they want me to have a good education, and I am smart and know where to look and how to network.",,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,I would be unequipped to go into the field and look for work.,"Happy,Relieved,Gratified,Proud","Confused,Annoyed,Angry,Stressed,Anxious,Stuck","Balancing stress,Nothing on this list stands out",Third year or equivalent,Public institution,No,Yes,Top 10% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,8,8
understanding and retaining knowledge ,"Getting good grades,Career preparation,Time management,Balancing stress,Grad/professional school preparation",,1,8,2,5,4,6,7,3,Yes,Myself,,,Both,,Yes,"Because growing up everyone around knew I was destined to succeed, some where along the road I fell off. I'm the first in my immediate family to have a College degree. ",,"No, I do not have access to sufficient resources and thus feel inadequately prepared to achieve my version of success. This DOES NOT affect how others see my academic potential.",Somewhat more,it's getting harder to survive.  A good education and job is much more secure now a days ,"Happy,Relieved,Gratified,Dignified,Proud","Annoyed,Angry,Stuck",Time management,Second year or equivalent,Private institution,No,No,Top 10% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,4,4
someone with a lot of academic certifications,Career preparation,,2,8,4,7,1,3,5,6,Yes,Family,,,Both,,Like somewhat,partial,,"Yes, I have access to sufficient resources, and I DO NOT feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they believe that I cannot achieve because I do not have the means to)",About the same,no,Proud,Annoyed,Independent Studies/Passion Projects,I am currently not in college,Public institution,No,No,Top 50% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",no,5,6
Goals and achievements made academically.  School ,"Time management,Pursuing knowledge/answers",,1,3,5,4,7,8,2,6,No,,,I am retired. But when I was in school I wanted to be successful so I was independently motivated,Motivated,,Like somewhat,Im not depending on others except those who are instrumental in my goals ,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,Being able to quality with competition in the job market ,"Happy,Gratified","Confused,Anxious,Stuck","Impressing your parents/guardians,Extracurriculars/Clubs",I am currently not in college,Other,No,Yes,I cannot remember,"NO, my career ambitions have changed A LOT from when I was in high school",,8,8
"To me, academic success involves reaching personal and educational milestones through ongoing effort, comprehension, and development. It is not solely about high grades or test scores but also about nurturing critical thinking abilities, curiosity, resilience, and a passion for learning. Ultimately, it’s the meaningful advancement of knowledge and skills while fostering perseverance, integrity, and a growth mindset that encourages lifelong learning and personal improvement.",Balancing stress,,5,2,1,3,4,6,7,8,Yes,Culture,,,Motivated,,Yes,"I believe that a comprehensive approach to academics is vital for personal development and future success, which shapes how I feel. Pursuing good grades while participating in extracurricular activities enhances my confidence, skills, and experiences beyond the classroom setting. Moreover, effectively managing stress and time keeps me motivated and supports my well-being. Preparing for graduate or professional school alongside gaining practical experience through internships or co-ops are crucial steps towards reaching my career aspirations. Ultimately, these motivations arise from a desire to learn continuously, develop personally, and ready myself for upcoming opportunities and challenges.",,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,"By developing a strong academic record, securing relevant internships, and engaging in extracurricular activities, I will become a competitive candidate for graduate or professional programs and future employers.","Happy,Relieved",Annoyed,Extracurriculars/Clubs,Second year or equivalent,Public institution,Yes,Yes,Top 50% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school","I'm grateful for your openness in sharing your thoughts and goals. Keep in mind that maintaining focus and flexibility is crucial to conquering challenges and reaching your dreams. Continually assess your progress, seek support when necessary, and take the time to celebrate each success along the path.",7,6
"Academic success means to me, that you have completed many scholar classes and have a degree of some sort.","Getting good grades,Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,1,3,6,2,5,4,7,8,Yes,Family,,,Stressed,,No,,"I don't have the money to afford school, so I have to have a job. Having a job makes it harder to focus on school.","No, I do not have access to sufficient resources and thus feel inadequately prepared to achieve my version of success. This DOES NOT affect how others see my academic potential.",About the same,It would make things stay the same for me. I wouldn't make any more money.,"Happy,Relieved,Gratified,Dignified,Proud","Confused,Annoyed,Angry,Stressed,Anxious,Nervous,Stuck","Time management,Balancing stress,Impressing your parents/guardians,Awards/Recognition",Fourth year of equivalent,Community college,Yes,No,Top 50% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",no,4,4
good grades,Career preparation,,2,4,5,6,7,8,1,3,No,,,i feel stressing just makes things worse,Motivated,,Like somewhat,I welcome challenges,,"No, none of these statements relate to me",Much less,It seems like no one is hiring so it really wouldn't matter,Happy,I do not relate to any of these feelings,Tests,Third year or equivalent,Public institution,Yes,,Top 25% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",,4,5
Academic success means getting the degree to finally find an occupation that won't accept me without it.,"Getting good grades,Career preparation,Grad/professional school preparation,Pursuing knowledge/answers",,4,6,5,2,3,1,7,8,Yes,Culture,,,Stressed,,Like somewhat,I feel as though I somewhat have support because I don't know why I care about any of these goals. I only care because I've been told to care.,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,"The degree is the most important part of academia. Without the degree, I would lose many opportunities. ","Happy,Relieved,Anxious,Stressed","Stressed,Anxious,Nervous,Stuck","Tests,Major assignments,Independent Studies/Passion Projects",Second year or equivalent,Community college,No,Yes,Top 10% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",,6,5
It means achieving at least high B's in class and during assignments while balancing stress-relieving activities. ,"Getting good grades,Career preparation,Grad/professional school preparation",,4,1,2,6,7,8,5,3,Yes,Family,,,Both,,Yes,My professors make it very clear that they're incredibly supportive of students' success. We also have counseling services and professional services that we can go to.,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat less,"Experience is more favored in my field (psychology). Even if I wanted to get into a master's program, I just need adequate experience.","Happy,Gratified,Proud","Annoyed,Angry","Projects,Major assignments,Balancing stress,Impressing your parents/guardians,Awards/Recognition",Fourth year of equivalent,Public institution,Yes,Yes,Top 25% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",,5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I think academic success means able to find a job or get into graduate school out of undergraduate. As if the things you did actually meant something tangible. ,Extracurriculars/Clubs,,3,6,5,7,4,8,1,2,Probably yes,Family,,,Stressed,,Yes,I think my family althought the source of my academic stress will back me up in any shape or form possible. Theyre always there for me and right next to me if anything happens to me,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,"I feel like I do base off my life on academic validation, so I would probably be way more depressed","Relieved,Gratified","Confused,Annoyed,Stressed",Tests,Third year or equivalent,Private institution,No,Yes,Top 50% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",,8,8
Graduating and finding a career in my selected field. ,"Getting good grades,Career preparation,Time management,Balancing stress,Internships/co-ops",,3,4,6,5,7,8,1,2,Yes,Myself,,,Stressed,,Yes,I have no other choice but to graduate and find a stable career path due to my situation.,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Much more,"If I do not do well, then I won't be allowed in my specific associates program, which would just lengthen my time before getting into a more stable career path. ","Happy,Relieved,Gratified,Dignified,Proud","Annoyed,Angry,Stressed,Anxious,Nervous,Stuck",Nothing on this list stands out,Fourth year of equivalent,Community college,No,No,Top 50% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",no,5,2
it means completing college and working towards a good life,"Internships/co-ops,Pursuing knowledge/answers",,4,3,5,8,6,7,1,2,Yes,Culture,,,Motivated,,Yes,i feel like i can afford school and if not i have money to do it,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",About the same,i wouldn't be able to grow or move up the ladder.  i feel i would be stuck where im mat,Happy,"Stressed,Anxious,Nervous",Nothing on this list stands out,I am currently not in college,Public institution,No,No,Top 50% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",no,5,5
Academic success to me means that you successfully complete your academics by getting good grades.,Getting good grades,,3,1,7,2,6,8,4,5,Yes,Myself,,,Both,,Like somewhat,Because I am unsure as if I have all the support and information needed but I have some. ,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Much more,If I am unable to achieve academically it may affect my future career goals. ,"Happy,Relieved,Gratified,Proud","Stressed,Anxious","Time management,Attaining top grades,Awards/Recognition",I am currently not in college,Online institution,No,No,Top 25% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",nothing further ,7,7
Doing your best in your studies and seeing that your best achieves a good grade.,"Getting good grades,Pursuing knowledge/answers",,1,5,4,7,6,8,2,3,Probably yes,Myself,,,Motivated,,Yes,I hope to achieve good grades which means that I've learned the material.,,"Yes, I have access to sufficient resources, and I DO NOT feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they believe that I cannot achieve because I do not have the means to)",Somewhat more,I would probably think about my future in the career field I've chosen to study,"Happy,Relieved","Stressed,Anxious",Major assignments,Fourth year of equivalent,Private institution,Yes,No,Top 10% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",,7,7
using the degree in which you are titled,Grad/professional school preparation,,2,1,4,6,5,8,7,3,No,,,"i have always ""done my own thing""",Motivated,,Yes,self study,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",About the same,opportunity,Gratified,I do not relate to any of these feelings,Time management,Fourth year of equivalent,Online institution,No,No,Top 1% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",,3,3
Graduating with a degree and being able to utilize that for your future profession.,"Getting good grades,Career preparation,Time management,Balancing stress",,1,2,4,3,5,8,7,6,Yes,Family,,,Stressed,,Yes,I have a supportive partner who would do anything for me.,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,I wouldn't be able to reach further than a customer service job.,"Happy,Relieved,Proud","Annoyed,Stressed,Anxious","Tests,Time management,Attaining top grades",Third year or equivalent,Community college,No,No,Top 50% of the class,"NO, my career ambitions have changed A LOT from when I was in high school","No, there is not.",4,4
it means getting A's or higher,"Getting good grades,Career preparation,Time management,Balancing stress,Internships/co-ops,Pursuing knowledge/answers",,4,3,2,6,7,8,5,1,Yes,Myself,,,Both,,Yes,the internet has any education tool you need,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",About the same,"It really wouldn't in the grand scheme of things (unless i do badly enough to fail a course, then my future would be delayed)","Happy,Relieved,Gratified,Dignified,Proud","Confused,Annoyed,Angry,Stressed,Anxious,Nervous,Stuck","Major assignments,Time management,Impressing your parents/guardians,Attaining top grades,Awards/Recognition,Independent Studies/Passion Projects",Third year or equivalent,Public institution,No,Yes,Top 10% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,7,7
"Academic success means growing in knowledge, skills, and confidence while achieving goals that prepare me for the future.","Career preparation,Balancing stress,Extracurriculars/Clubs,Internships/co-ops,Pursuing knowledge/answers",,1,6,2,8,5,7,4,3,Maybe,,,,Motivated,,Yes,"I feel this way because I have access to helpful professors, campus resources, supportive peers, and opportunities like internships and extracurriculars that guide both my learning and career preparation.",,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,"It would significantly affect my future by limiting internship and job opportunities, reducing competitiveness for graduate programs, and making it harder to build a strong professional network","Happy,Relieved,Gratified,Proud","Angry,Stressed,Nervous","Performance in sports,Tests,Major assignments,Time management,Impressing your parents/guardians,Service,Internship/Career-oriented work",Fourth year of equivalent,Private institution,No,Yes,Top 75% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",none,7,7
"It means achieving positive outcomes in education, such as strong performance, personal growth, reaching goals, developing skills that prepare you for future opportunities.","Career preparation,Time management,Pursuing knowledge/answers",,5,2,3,8,7,6,4,1,No,,,"I don't feel pressured because at this point in my life I already have the knowledge and skills I need to succeed in my career. For me, it's more about maintaining and applying what I know rather than striving for new academic achievements.",Other,I don't feel pressure,Yes,I have a few avenues I can take when issues arise.,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,"If I hadn't done well, it might have limited my opportunities early on, especially in building the foundation for my career. Specifically, it could have delayed gaining the knowledge, discipline, and credentials I needed to get started, which would have made it harder to estabilish myself professionally as quickly as I did.","Gratified,Dignified,Proud","Confused,Stressed","Major assignments,Time management,Internship/Career-oriented work",I am currently not in college,Other,No,No,Top 50% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",,4,4
"Academic success to me is completing all work on time, and fully understanding of the subjects.","Career preparation,Balancing stress,Grad/professional school preparation",,3,1,4,2,5,8,7,6,Yes,Family,,,Both,,Yes,I feel this way because I have a lot of support from them and I feel that they keep me motivated into doing good.,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,It would decrease my future average salary and it would be a struggle in getting a career,"Happy,Gratified,Proud","Confused,Angry,Stressed",Awards/Recognition,First year or equivalent,Community college,Yes,Yes,I cannot remember,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",No,5,8
Academic success means that I am accomplishing the goals that I have set out in front of myself. ,Career preparation,,3,1,6,2,7,8,5,4,Yes,Myself,,,Both,,Like somewhat,Because there aren’t many resources that I can physically get to in order to aid myself in being successful. ,,"No, none of these statements relate to me",Somewhat more,It would take longer for me to complete my goals ,"Proud,Anxious",Stressed,Attaining top grades,Fourth year of equivalent,Online institution,Yes,No,Top 10% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",No,2,2
Achieving all the academic goals set for myself,"Getting good grades,Career preparation,Time management,Extracurriculars/Clubs,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers",,7,2,6,3,5,8,1,4,Yes,Career Goals,,,Motivated,,Yes,Because I can comfortably pay my school fees with the help of my parents and they expect me to get a good job after,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,I might fail to get accepted in that dream job I have always wanted and I end up hustling my life,"Happy,Relieved,Gratified,Dignified,Proud","Confused,Annoyed,Angry,Stressed,Anxious,Nervous,Stuck","Tests,Projects,Awards/Recognition,Independent Studies/Passion Projects",First year or equivalent,Public institution,No,No,Top 25% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",no,6,6
ability to navigate through life using the knowledge learnt,Career preparation,,1,3,4,2,6,7,8,5,Yes,Family,,,Both,,Yes,cause I have the best resources,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Much less,I would do something i admire most aside from career ,No difference in feeling,Stuck,Impressing your parents/guardians,Second year or equivalent,Public institution,Yes,No,Top 1% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",Academic success does not equally mean life success,5,5
