definition,academicgoals,describeacademicgoals,resourceswhy,futureimpact
"Having good grades, learning new things, self development","Getting good grades,Pursuing knowledge/answers",,"I have resources, and it's important for me to have it to my advantage. To learn and gain more information and insight for my career goals.","If I'm not doing well, I can't have a degree, or be knowledgeable and be open for more opportunities. Background and education is key for me."
Getting good grades ,"Getting good grades,Career preparation,Time management",,I feel the need to succeed. ,I would not be able to get as good a job. 
"For me it's just achieving goals in your academic journey, whatever that may be for an individual. It's reaching new heights and breakthroughs in your learning and coming to a place of accomplishment, maybe even enjoyment.","Getting good grades,Time management,Pursuing knowledge/answers",,"Everyone does. Even if family isn't there, there have always been faculty along the way that make you want to keep going. Then with libraries, computers, being able to borrow/rent items, and everything else, it's safe to say I have the resources and support at all times, I just need to seek it out. The only thing that might be a bit of an issue is the amount of money I might need on a given day.",It would be harder to get jobs since I can't get the degree I'm going for. I guess in some scenarios in life I might be barred as well because of my lack of credentials.
Academic success is thriving and making high marks.,"Getting good grades,Career preparation,Time management,Extracurriculars/Clubs,Internships/co-ops",,I attend Furman University so there's a lot of departments such as the Career Center for Student Engagement,It may be harder to get jobs with a lower GPA
To be successful in academic life ,"Getting good grades,Time management",,I dont have the support i always need,"Im
Not sure"
Getting good grades while passing all my classes. Graduating eventually,Getting good grades,,Sometimes I feel like my teachers are not there for me. ,I would be making less money and have less career opportunities. 
Working your hardest on your class work and being able to take something from each class you take,Grad/professional school preparation,,I think there are so many external resources available to people now a days there's really no reason anyone should feel like they lack resources.,"It would not only hurt my GPA which could affect jobs, but also hurt my confidence in my knowledge."
It means succeeding at academic goals in a timely manner,Pursuing knowledge/answers,,Because I have the tools and knowledge needed to succeed,It would limit opportunities for jobs and future careers
"At this point in my academic pursuits, just passing all my classes and getting the degree is the most important goal.  I am burnt out of writing papers, regurgitating information, while still trying to enjoy the learning process.  Frankly, post-graduation, an employer will never ask what grade I got in Psych 101.  But for me, taking what I can educationally from the class, regardless of grades, is much more important.  Ultimately the final degree is the end goal in terms of success, but enjoying the learning process is how you arrive to that point. ","Career preparation,Pursuing knowledge/answers,Other","At this point, not dropping out is the most important.  The loan load is ridiculous, and I'm going into a field (Emergency Management) that has an unsure future, after looking at the ongoing demise of FEMA.  Job prospects have dropped off the cliff across the board, locally to federally.  Why pursue and go even deeper into debt for an education that isn't going to help with employment?",,My GPA would reflect to employers how I did in school when job seeking.  
Fully grasping the subject matter and Application,"Getting good grades,Pursuing knowledge/answers",,I’ve always been relatively good in college and I feel like I’ve always tried to apply myself as best as possible,Feel like I won’t be able to land the positions that I want to
Being able to prove that you are learning the material that you are being taught in your courses.,"Getting good grades,Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,"Because I believe I can be successful if I am provided the material necessary, but I can’t guarantee that I am currently provided the materials or that I will be in the future.","I think I personally would be less successful on my own, but I also don’t know for sure because I have almost always been provided with the adequate resources."
Working hard at your studies and excelling in college or beyond.,"Getting good grades,Time management,Balancing stress",,,I need to make enough money to take care of my son. I either need to move somewhere with more resources (floridas are the worst) or just make enough to pay for what he needs.
Academic success means excelling in my classes.,"Career preparation,Time management",,I have people I can talk to about my stress.,It would affect which jobs I could get.
"Getting A's or B's, maybe the occasional C for a tough class.",Career preparation,,It depends on the course and how I'm feeling at a particular time.,My opportunities would be less so I believe. 
It means learning and maintaining high grades.,"Getting good grades,Time management,Balancing stress",,I don't think there's any resources I really need at the moment. ,I wouldn't graduate and my job prospects would be far worse.
Academic success for me means an understanding of what your are really doing and maintaining and progress as one moves forward,"Career preparation,Time management,Balancing stress,Internships/co-ops",,Expectations from my family and school ,The type of job I will be getting to start of my life to financial freedom.
It means that I have achieved a comprehensive understanding of the world.,"Getting good grades,Career preparation,Time management,Balancing stress,Extracurriculars/Clubs,Grad/professional school preparation,Pursuing knowledge/answers",,"I am a disabled student in america. I have to ask permission to take a class I am paying for, just because I can't guarentee my health. ","It would effect my chances into getting to grad school, which is my only real oppurtinty to get a job now that I can be discriminated against for having a disibility by employeers in the united states. "
Passing my courses.,"Getting good grades,Career preparation",,"I have contacted outside help from professionals so I feel like I have some help, but it also doesn't feel like enough.","This would affect my future because I would be marked on my transcript as not passing, which does not help my GPA and future education opportunities and I would be behind other people trying to get into the same career as me."
Achieving high grades in all levels of school especially towards what you are studying,Career preparation,,"I got a good scholarship to my college, I have supportive friends and family, good professors.",I probably wouldn't be able to pursue the career path I want to do.
"Academic success means gaining knowledge, achieving good grades, and developing the skills needed to reach your future goals.",Balancing stress,,,I think that i would have more opportunities
Graduating with the degree that you planned for.,"Getting good grades,Time management,Balancing stress,Pursuing knowledge/answers",,"The school system allows students to have access to tutors, chrome books/iPads, and other useful resources.",The goals that I have do not require a degree.
"Academic success generally means achieving educational goals and performing well in studies. It often involves earning high grades or test scores, mastering the curriculum, and developing a deep understanding of the subject matter. Beyond just grades, it also encompasses the development of critical thinking skills, effective study habits, problem-solving abilities, and a genuine intellectual curiosity. Ultimately, academic success prepares individuals for future educational pursuits and professional careers by equipping them with the necessary knowledge and intellectual tools.","Career preparation,Time management,Balancing stress",,I have a support system in place to help ensure my academic success. I make a group of people that combine notes and share knowledge to improve learning,It would reduce the chances I might have once I'm out of school
understanding the material thoroughly and getting good grades,"Time management,Balancing stress,Pursuing knowledge/answers",,because there are a lot of resources available to me through school campus as well as my family and friends and the internet. ,i would be passed over for certain jobs
"Academic success means to me that I have made an honest effort to complete all my the requirements for the class assigned. Although I may not achieve the highest point average, I have focused on completion and opened my mind to learn all that is placed before me. I will remain focused, motivated and self propelled to reach my final goals.","Getting good grades,Time management,Balancing stress,Pursuing knowledge/answers,Other","My goal is to finish everything I start. I am at the age of 56, this is my chance to move ahead and complete the all things I had dreamed of doing. I am successful in a sense already but getting a degree is something I have moved to the side so many times. ",I have children that are self sufficient. My grandkids are here and don't require as much as a baby so this opens me up to be able to do my assignments uninterrupted.,"This educational opportunity is not indicative of my current social status. i have 40 years of employment already and this is for me, not for future employment."
"Academic success means learning the subject, but with actual learning, not just memorization.",Grad/professional school preparation,,"I wish I had more resources to use that can benefit me in my academic success, but it is fine for now. I will really need the resources when I am in grad school.",Colleges take in GPA and different test scores to check if you are eligible to be admitted into their college.
Graduating with the degree I am working towards,"Getting good grades,Career preparation,Pursuing knowledge/answers",,I am older than most of the people in my classes. I think programs are more geared towards the younger adults.,"It would take longer for me to graduate. I am older with a family to support so I do not have time to ""play around""."
"Fulfilling my goal of learning to the best of my ability, and becoming a thoughtful, knowledgeable citizen of the world. ","Time management,Pursuing knowledge/answers",,"I'm not financially well off like some of my peers. After receiving a few scholarships, my confidence to pay for academia has increased dramatically. With the cuts to higher education though with the Trump administration, I know that my support may soon come to an end sooner than later. ",I'd still be motivated by engaging intellectually as a student of the world despite my academic failings.
"Getting good grades: Overall, intelligence in school, then get a good job for the traditional careers such as engineers, doctors etc.",Getting good grades,,,"Good grades get you into good colleges then good companies for internships and career development which basically translates to a good salary(financial freedom). Alternatively, if you are very smart you can get scholarships which help pay for grad school and eventually an academic career. I am not athletic. I do not engage in sports because the other path to success is professional athletics e.g. football. I do not have that luxury."
doing well in your academics and graduating to  another  level,Career preparation,,because I want to accomplish my purpose,Finincially
It means to strive and acheive the best grades and to absorb and retain the knowledge you gain.,"Getting good grades,Time management,Balancing stress,Pursuing knowledge/answers",,I have my family to back me up and my friends to help support and guide me along the way.,I can hinder my progression in my future career
Getting a good enough grade to get into a master's program.,"Getting good grades,Career preparation,Grad/professional school preparation,Pursuing knowledge/answers",,"The classes I take aren't that hard, mentally or course work/time commitment wise, but even if I somehow couldn't manage them my school has tutors that could teach me one on one until I understand the material.","I assume if you barely skirt by for your bachelors schools won't bother taking you in for the harder masters thinking there's no way you could finish it as an underachiever, meaning I would be essentially permanently locked into only having a bachelors for the rest of my life."
Progressing in a timely manner with good grades.,"Getting good grades,Time management",,I know the exact steps to take and how to achieve my goal,financially
You were very good in school and you had good grades,"Getting good grades,Grad/professional school preparation,Pursuing knowledge/answers",,My family supports me very much .  I also have support from teachers,"If I do not do well,l it will make it nearly impossible to get into grad school"
Graduating with a good GPA,"Getting good grades,Time management",,I have a very supportive family and my boss is also very supportive in making sure I have time to study. ,"If I can't graduate, then I would have to pay back my tuition that my work is paying, so it would be a big financial stressor. "
it means being able to understand knowledge,Pursuing knowledge/answers,,i have money to buy textbooks,i cant get good jobs
"It means to not only get good grades, but to understand the material and know what each part means in the greater picture.","Getting good grades,Career preparation,Time management,Balancing stress,Extracurriculars/Clubs,Grad/professional school preparation,Internships/co-ops",,"I feel like there's people to help me, but at the same time the pressure is still weighing on me.","I think people would not have as much faith in me as they do now, mostly because my prowess is in my academics."
Completing my bachelors would be academic success to me.,"Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,I technically have everything i need to be academically successful. ,"I wouldn't be eligible for as many jobs, not even in the same job tier.  Getting my degree should make a huge difference in job prospects."
it means being able to obtain your goals and making good grades and ensuring that you are on the right track to obtain the career of your dreams.,"Getting good grades,Career preparation,Internships/co-ops,Pursuing knowledge/answers",,Because my school has all the resources needed to make sure that I am understanding my courses/curriculums. I have tutoring available and the option to chat with my peers or professors for assistance.,"It would mean I got in debt for no reason with going to school and not finishing what I am suppose to, I have kids watching me so if they see I am not making the effort they might try and do the same."
Achieving your academic goals,Other,Career prep,Tutoring and help is available ,You’ll question your ability 
Getting an acceptable grade by my standards.,"Getting good grades,Internships/co-ops",,I feel that I am able to rely on myself and also have the ability to talk to my instructors if needed.,I would be seen as less prestigious and may need to work harder to find employment.
"Academic success to me means performing well, getting good grades etc. ","Getting good grades,Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,,"I think it would take more financial impact on me, if i fail or pass i still have to pay tuition"
It means growing as a person as I advance through the system.,"Getting good grades,Career preparation,Pursuing knowledge/answers",,Things are just a struggle to stay motivated and focused.,I would be denied opportunities.
Completing my studies sucessfully in order to enrich my knowledge.,"Getting good grades,Time management,Pursuing knowledge/answers",,I have been able to adjust and get the support needed to further my knowledge. ,I would not have the experience I need to be adequite in my studies.
"Academic success is achieving the educational goals you made for yourself, including good grades, and then using that knowledge to be successful in life.","Getting good grades,Career preparation,Time management,Balancing stress,Pursuing knowledge/answers,Other","My academic goals right now are to maintain good grades, retain what I'm learning, and complete my degree in sociology and move on to obtaining a degree in social work. Then, I plan on using what I have learned and what I already know, to help the less fortunate.","I feel this way because of I were to need help with something, I can always talk to me at my school. Besides that, I have drive like no other. If I want something, and I set my mind to it, the sky is the limit.","This would effect my future tremendously. The more I learn, the better I will be able to help get the homeless off of the streets, successfully. The less likely I would be able to help drug addicts get sober and stay that way. "
"To me, academic success means learning new material and applying it accurately to both assignments and in things like projects or other career-oriented activities. It does mean good grades to me, but it also means truly understanding the material you are learning, not just for an exam.","Getting good grades,Career preparation,Balancing stress,Internships/co-ops,Pursuing knowledge/answers",,There are resources at my university available to help students psychologically and academically. I think the harder part is actually reaching out and using them.,"I don't think it would permanently harm my future, but some internships ask for GPA or transcripts, and I think internships are important for early career/entry-level roles"
Academic success to me means having a good balance between your school life and personal life where you still achieve good grades and results that turns into progress and growth.,"Getting good grades,Time management,Balancing stress",,There's ways I could have more help but I know I'm privileged enough to even achieve and receive academic support.,I wouldn't have been able to leave my city 
Good grades and academic recognition,Pursuing knowledge/answers,,There are plenty of people within and outside of the school to talk to,Potential bad grades and failure can affect future school opportunities and ultimately career options
Academic success is genuinely understanding the class materials beyond good grades and retaining that knowledge outside the classroom.,"Getting good grades,Career preparation,Time management,Balancing stress,Extracurriculars/Clubs,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers,Other",I feel like I'm running out of time to accomplish them. My academic goals right now is trying to stay afloat in my classes and balance everything.,"Somewhat because I feel like while they are there, there are way too many other students competing with me for those same resources and opportunities.",I would not be able to get into the masters program I want and thus have to settle for a mediocre job or go back to school.
It means getting good grades and passing classes. ,"Getting good grades,Career preparation,Pursuing knowledge/answers",,I have a subscription to a tutoring service. ,It would make me feel unmotivated and not able to accomplish my goals. 
Passing my classes and learning meaningful content.,"Getting good grades,Pursuing knowledge/answers",,I have myself to blame if I have not succeeded. My school provides many resources. ,I would feel bad about myself.
Doing well in school,"Getting good grades,Career preparation,Time management,Balancing stress,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers",,I can’t always afford materials or opportunity,My career aspirations rely on me doing well in school
In my opinion it means to understand what you are learning.,"Getting good grades,Career preparation,Balancing stress,Grad/professional school preparation",,"Because when I think about the future and what career I want to go in, I still did not decide ",It will effect me physically and mentally it will not give me the confidence and courage to finish my career 
To get good grades and feel confident and prepared for your future life and career endeavors,"Getting good grades,Career preparation,Time management,Balancing stress,Extracurriculars/Clubs,Internships/co-ops",,"I made the decision to attend a local community college with many resources to help me navigate college and transition, especially because I'm a student with disorders who's experienced extreme academic failure. I have the potential to do better and have improve SIGNIFICANTLY due to the support and security. It can be stressful at times, though I know I have people to help me in different ways.","I almost dropped out of high school which would've left me to struggle a lot in the job market. If I dropped out of college/any school, I would have A LOT of trouble finding a different path to go down."
"Academic success, to me, means that I am able to not only achieve good grades, but understand and apply the material I am learning in everyday settings.","Getting good grades,Career preparation,Time management,Balancing stress,Extracurriculars/Clubs,Pursuing knowledge/answers",,"I think that because my program is within its own department, I am able to access better resources and prepare myself better for my academic goals.","I would have less job prospects, be unable to do well in my job, and put peoples' lives at risk."
"Straight As, passing college, excelling at college, etc.","Getting good grades,Career preparation,Time management,Internships/co-ops,Pursuing knowledge/answers",,"I have finances, family, friends, and partner that'd drop everything just to make sure she's there to help me up when I fall. I have no reason to fall and accept defeat instead of get back up again.","It would effect how I plan to go about my life, my main plan relies on a few years worth of saved up income to build more income."
completing assignments on time and making good grades and understanding the information,"Getting good grades,Time management,Balancing stress,Pursuing knowledge/answers",,hard for me to ask for and accept help,career prospects and opportunities 
Academic success is doing your absolute best when it comes to learning and presenting information.,"Getting good grades,Time management",,"I am an online student who is first gen, so it is difficult to find the kind of support I need.",I don't think it would effect my future that much.
Discipline ,"Getting good grades,Career preparation,Time management,Balancing stress,Internships/co-ops,Pursuing knowledge/answers",,I feel like I have the support I need. My parents pay for my college tuition. ,"I know that I don’t academically perform, I won’t have as many opportunities in the future. "
Good grades,"Getting good grades,Career preparation,Pursuing knowledge/answers",,,It is preventing me from getting jobs
"Having a good GPA, learning material, etc.","Getting good grades,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers",,"I have some things to help me, but I am still a long way away.","Career wise, and my overall lifestyle"
Getting good grades but also being an asset upon graduation. ,"Getting good grades,Career preparation,Pursuing knowledge/answers",,Money man. It's to costly and so you have to sacrifice. ,Job opportunities. I would be unfit and uneducated to be helpful. 
It means attaining the small goals in your college career.,"Getting good grades,Balancing stress,Pursuing knowledge/answers",,There are school resources and there are people there to help.,"That means you're not using your resources, at least try to get help."
"It means not only just getting a passing grade in my classes, but doing better than that and having a good GPA overall and achieving my degree","Career preparation,Time management,Balancing stress",,,It would limit my ability to get higher paying jobs if I don’t finish my degree
Reaching goals in education,"Getting good grades,Career preparation,Time management,Balancing stress,Grad/professional school preparation,Pursuing knowledge/answers",,,"In order to get that good job and beat the competition, the academic success must be there. "
Doing well in school and studies,Pursuing knowledge/answers,,I have everything I need.,I would not develop as a person.
90+ in every class,Getting good grades,,"Well, I AM doing it, so I'll just keep doing it.",It would ruin some of my plan bs and cs
having good grades,Career preparation,,It can be supportive and challenging at times,It would stunt my progress
"Academic succes means gaining knowledge ,achieving goals.and growing both personally and professionaly","Career preparation,Time management,Pursuing knowledge/answers",,"i have the tools i need,the motivation,and the platform","Its more of the skills,the knowledge that i will acquire i doubt if i can fail"
"To me, academic success mean more than achieving high grades or attaining a prestigious degree. It involves holistic process of  intellectual growth, critical thinking of development and the acquisition of practical skills that equip individuals to make meaningful contributions to society.","Getting good grades,Career preparation,Internships/co-ops,Pursuing knowledge/answers",,Because I have all that require,Because it will restrain me from achieving my goals
"""Academic success"" to me is both a grade reflective of my efforts in school and a significantly increased knowledge of the field I'm studying in.","Getting good grades,Career preparation,Balancing stress,Grad/professional school preparation,Internships/co-ops",,"I intend to be an attorney someday, and in certain areas there is the requirement for money to afford things like books and other resources (especially since legal textbooks really aren't so cheap). So, I tend to find that although I can manage on my own for the most part, I sometimes don't have all the resources I need.","If I don't do well academically, it could completely affect my career. How law schools view my grades is an important part of my career, and could completely affect it if my GPA were to slip too much. Academic success is a big determining factor in my future."
"To me, academic success means not only receiving good grades, but truly feeling like I understood the material. It's not only reflected by test scores, but on knowledge retention.","Getting good grades,Time management,Pursuing knowledge/answers",,"I feel incredibly lucky to have an amazing support system, from my loved ones to my academic success team. My academic advisors have always ensured that I have the tools to succeed, and every professor I've had has offered students the chance to improve upon a bad grade. I feel like those around me are really working alongside me.","My educational pursuit is such that I've been building a portfolio of projects that I've worked on while in school. This portfolio will (and already has) affected my ability to find work in my field. For example, my portfolio was lackluster when I began applying for work, so I've been working to improve upon it and expand it. The knowledge that I've gained and retained academically definitely affects my future because it's visible."
Passing all your classes and actually learning what the classes are trying to teach you.,"Getting good grades,Career preparation,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers",,The school I go to has alot of resources for help.,Getting a degree would help my future. I have to be successful to get the degree.
"Growth, perseverance, knowledge, confidence, curiosity, discipline, achievement, balance, resilience, opportunity.","Career preparation,Time management,Pursuing knowledge/answers",,i feel like i have to work hard like a crazy person to achieve what i want,"If I did not do well academically, it would affect my future a lot. It might make it harder to get into college, find a good job, or reach my goals. I could miss chances to learn important skills, earn scholarships, or build confidence in myself."
Getting good grades and achieving my goals,"Getting good grades,Career preparation,Time management,Internships/co-ops,Pursuing knowledge/answers",,I feel stressed in the moment but I know everything will work out in the long run.,I feel I would not get into the program I want.
